time,latitude,longitude,depth,mag
2005-12-15T01:19:56.780Z,34.806,77.471,10,4
2005-11-16T02:26:54.990Z,34.507,75.563,10,4.7
2005-11-04T21:05:50.370Z,34.254,74.271,10,3.6
2005-10-31T10:20:53.880Z,33.494,75.115,35,3.6
2005-10-11T22:53:53.120Z,33.078,76.208,10,4.1
2005-08-29T01:31:30.750Z,34.683,74.387,61.9,3.3
2005-08-18T01:17:53.890Z,33.079,78.198,10,3.4
2005-07-04T19:44:05.760Z,32.729,76.312,20,4.8
2005-06-22T01:24:06.350Z,34.379,74.488,45,3.7
2005-04-18T20:10:34.570Z,32.671,76.41,20,4.1
2005-04-14T07:11:27.170Z,32.567,76.359,31.3,4.8
2005-04-05T10:21:51.530Z,34.516,74.812,40.1,4
2005-02-28T18:01:59.750Z,32.534,76.624,12,4.8
2005-02-28T16:04:49.490Z,32.565,76.581,32.5,3.8
2004-11-28T21:17:56.740Z,33.241,74.895,37.9,3.9
2004-11-11T02:46:49.000Z,32.22,76.409,20,4.1
2004-11-11T02:13:45.040Z,32.442,76.512,34.6,4.9
2004-07-22T03:31:05.970Z,32.188,77.17,10,3.9
2004-07-13T12:50:07.490Z,33.693,76.999,40,3.9
2004-02-23T13:34:08.640Z,33.005,78.874,46,3.7
2004-02-04T18:46:58.400Z,33.947,75.149,23.8,4.1
2003-12-21T02:14:07.450Z,32.548,76.626,33,4.2
2003-05-11T16:34:51.710Z,33.107,75.937,33,4.4
2003-04-27T19:17:24.140Z,32.874,76.761,33,4.1
2003-04-16T13:54:55.790Z,33.493,76.582,33,4.4
2003-03-02T15:23:33.400Z,33.375,75.689,33,4.6
2002-06-04T18:32:16.950Z,34.296,76.436,33,4.3
2002-05-23T15:24:41.330Z,34.365,76.736,33,4.3
2002-05-23T05:03:55.040Z,34.32,76.426,33,4.4
2002-04-06T04:40:25.450Z,34.366,76.259,44.5,4.4
2002-03-18T04:29:16.580Z,32.948,76.213,57.7,4.3
2002-03-15T02:02:12.760Z,34.352,76.216,47.1,3.9
2002-03-14T18:44:05.430Z,34.243,76.297,39.6,3.9
2002-03-14T18:39:55.930Z,34.232,76.451,39.7,4.2
2002-01-27T22:33:43.630Z,33.123,75.91,40,5.3
2002-01-07T13:04:13.860Z,33.785,74.785,33,4.1
2001-10-20T21:42:00.490Z,33.664,76.318,78.6,4.1
2001-10-14T21:14:41.370Z,32.564,76.065,33,4.8
2001-10-03T21:24:22.170Z,33.31,76.321,33,3.7
